id		ip_cliente		datanode
0		192.168.240.1		3
1		192.168.240.1		2
2		192.168.240.1		3
3		192.168.240.1		3
4		192.168.240.1		2
5		192.168.240.1		2
6		192.168.240.1		1
7		192.168.240.1		2
8		192.168.240.1		3
9		192.168.240.1		1
10		192.168.240.1		3
11		192.168.240.1		2
12		192.168.240.1		1
13		192.168.240.1		1
14		192.168.240.1		2
15		192.168.240.1		3
16		192.168.240.1		1
17		192.168.240.1		1
18		192.168.240.1		2
19		192.168.240.1		2
